,continent,country,year,gdp,population,lifeexpectancy
3702,Africa,Sudan,2020,80.8,44019263,67.55
3741,Africa,Senegal,2020,27.9,16816539,66.82
3782,Asia,Singapore,2020,330.2,5858322,81.05
3814,Oceania,Solomon Islands,2020,1,689671,62.87
3830,Africa,Sierra Leone,2020,4,8004158,59.6
3871,North America,El Salvador,2020,23.7,6491923,70.58
3892,Europe,Serbia,2020,46.7,8731081,73.46
3910,South America,Suriname,2020,4.8,587541,68.5
3938,Europe,Slovakia,2020,120,5460109,74.84
3963,Europe,Slovenia,2020,59.1,2078989,78.59
4003,Europe,Sweden,2020,604.6,10110233,80.83
4025,Africa,Seychelles,2020,1.5,98453,69.98
4035,Africa,Chad,2020,13.5,16502877,57.95
4041,Africa,Togo,2020,5.9,8310934,61.52
4082,Asia,Thailand,2020,471.7,69830779,74.36
4093,Asia,Tajikistan,2020,10.7,9573310,67.58
4109,Asia,Turkmenistan,2020,50.3,6046292,66.48
4115,Oceania,Tonga,2020,0.4,105901,69.81
4155,North America,Trinidad and Tobago,2020,21.8,1400283,72.54
4181,Africa,Tunisia,2020,53.6,11839918,74.88
4209,Asia,Turkey,2020,1251.9,84495243,76.44
4250,Asia,Taiwan,2020,562.9,23824369,80.7
4280,Africa,Uganda,2020,31.7,45974931,63.24
4306,Europe,Ukraine,2020,139.1,43686577,68
4347,South America,Uruguay,2020,52.3,3475842,73.48
4388,North America,United States of America,2020,18637.9,331341050,76.28
4410,Asia,Uzbekistan,2020,76.8,33551824,70.76
4450,Oceania,Samoa,2020,0.8,198643,69.16
4476,Asia,Yemen,2020,19.5,29935468,64.41
4510,Africa,South Africa,2020,438.8,59436725,62.2
4551,Africa,Zambia,2020,30.7,18468257,59.54
